experiment,protocol,class,center_distance_threshold_m,AP,class_mean_AP
M1,clean_no_corruption,pedestrian,0.5,0.1795953903748021,0.5795523334647962
M1,clean_no_corruption,pedestrian,1.0,0.5173066629697965,0.5795523334647962
M1,clean_no_corruption,pedestrian,2.0,0.770456596670239,0.5795523334647962
M1,clean_no_corruption,pedestrian,4.0,0.850850683844347,0.5795523334647962
M1,clean_no_corruption,motorcycle,0.5,0.23831097701790313,0.5370568075859042
M1,clean_no_corruption,motorcycle,1.0,0.5054609194406906,0.5370568075859042
M1,clean_no_corruption,motorcycle,2.0,0.6724541951994432,0.5370568075859042
M1,clean_no_corruption,motorcycle,4.0,0.73200113868558,0.5370568075859042
M1,clean_no_corruption,bicycle,0.5,0.08582922907528134,0.29730447110065106
M1,clean_no_corruption,bicycle,1.0,0.26718142188113675,0.29730447110065106
M1,clean_no_corruption,bicycle,2.0,0.4122709174913083,0.29730447110065106
M1,clean_no_corruption,bicycle,4.0,0.423936315954878,0.29730447110065106
M1,clean_no_corruption,traffic_cone,0.5,0.41509969670228514,0.7122381108831335
M1,clean_no_corruption,traffic_cone,1.0,0.7743974472282624,0.7122381108831335
M1,clean_no_corruption,traffic_cone,2.0,0.8294605502932215,0.7122381108831335
M1,clean_no_corruption,traffic_cone,4.0,0.8299947493087652,0.7122381108831335
M1,clean_no_corruption,barrier,0.5,0.0,0.0
M1,clean_no_corruption,barrier,1.0,0.0,0.0
M1,clean_no_corruption,barrier,2.0,0.0,0.0
M1,clean_no_corruption,barrier,4.0,0.0,0.0
M1,camera_crash_back_5f,car,0.5,0.42875422882083625,0.7243933748644604
M1,camera_crash_back_5f,car,1.0,0.7191320972991287,0.7243933748644604
M1,camera_crash_back_5f,car,2.0,0.8496467749362869,0.7243933748644604
M1,camera_crash_back_5f,car,4.0,0.9000403984015899,0.7243933748644604
M1,camera_crash_back_5f,truck,0.5,0.6214316673123593,0.8025055300225513
M1,camera_crash_back_5f,truck,1.0,0.8248829646655141,0.8025055300225513
M1,camera_crash_back_5f,truck,2.0,0.8816447794529868,0.8025055300225513
M1,camera_crash_back_5f,truck,4.0,0.8820627086593449,0.8025055300225513
M1,camera_crash_back_5f,bus,0.5,0.046694357642997356,0.5120969063658508
M1,camera_crash_back_5f,bus,1.0,0.4476421679736847,0.5120969063658508
M1,camera_crash_back_5f,bus,2.0,0.5984955442911656,0.5120969063658508
M1,camera_crash_back_5f,bus,4.0,0.9555555555555557,0.5120969063658508
M1,camera_crash_back_5f,trailer,0.5,0.0,0.0
M1,camera_crash_back_5f,trailer,1.0,0.0,0.0
M1,camera_crash_back_5f,trailer,2.0,0.0,0.0
M1,camera_crash_back_5f,trailer,4.0,0.0,0.0
M1,camera_crash_back_5f,construction_vehicle,0.5,0.0,0.0
M1,camera_crash_back_5f,construction_vehicle,1.0,0.0,0.0
M1,camera_crash_back_5f,construction_vehicle,2.0,0.0,0.0
M1,camera_crash_back_5f,construction_vehicle,4.0,0.0,0.0
M1,camera_crash_back_5f,pedestrian,0.5,0.1673232090056218,0.5782172024412285
M1,camera_crash_back_5f,pedestrian,1.0,0.5176949205851278,0.5782172024412285
M1,camera_crash_back_5f,pedestrian,2.0,0.7763543661283525,0.5782172024412285
M1,camera_crash_back_5f,pedestrian,4.0,0.8514963140458122,0.5782172024412285
M1,camera_crash_back_5f,motorcycle,0.5,0.21364109048369745,0.5360632661940681
M1,camera_crash_back_5f,motorcycle,1.0,0.5133357979782961,0.5360632661940681
M1,camera_crash_back_5f,motorcycle,2.0,0.6768648299529448,0.5360632661940681
M1,camera_crash_back_5f,motorcycle,4.0,0.7404113463613335,0.5360632661940681
M1,camera_crash_back_5f,bicycle,0.5,0.07717425323326826,0.277871070088823
M1,camera_crash_back_5f,bicycle,1.0,0.21108794755399773,0.277871070088823
M1,camera_crash_back_5f,bicycle,2.0,0.40607188059395444,0.277871070088823
M1,camera_crash_back_5f,bicycle,4.0,0.41715019897407163,0.277871070088823
M1,camera_crash_back_5f,traffic_cone,0.5,0.40364308297414847,0.6990963106239567
M1,camera_crash_back_5f,traffic_cone,1.0,0.7449197921490246,0.6990963106239567
M1,camera_crash_back_5f,traffic_cone,2.0,0.8229702361960161,0.6990963106239567
M1,camera_crash_back_5f,traffic_cone,4.0,0.8248521311766378,0.6990963106239567
M1,camera_crash_back_5f,barrier,0.5,0.0,0.0
M1,camera_crash_back_5f,barrier,1.0,0.0,0.0
M1,camera_crash_back_5f,barrier,2.0,0.0,0.0
M1,camera_crash_back_5f,barrier,4.0,0.0,0.0
M1,camera_crash_back_10f,car,0.5,0.43593598673922307,0.7261762434938845
M1,camera_crash_back_10f,car,1.0,0.7151643676884706,0.7261762434938845
M1,camera_crash_back_10f,car,2.0,0.8555958447079518,0.7261762434938845
M1,camera_crash_back_10f,car,4.0,0.8980087748398927,0.7261762434938845
M1,camera_crash_back_10f,truck,0.5,0.6403263778108804,0.7894319791789999
M1,camera_crash_back_10f,truck,1.0,0.7533129146874521,0.7894319791789999
M1,camera_crash_back_10f,truck,2.0,0.8817597665480795,0.7894319791789999
M1,camera_crash_back_10f,truck,4.0,0.8823288576695876,0.7894319791789999
M1,camera_crash_back_10f,bus,0.5,0.03338710792959158,0.39712840524278437
M1,camera_crash_back_10f,bus,1.0,0.3333129939535168,0.39712840524278437
M1,camera_crash_back_10f,bus,2.0,0.43292463019913996,0.39712840524278437
M1,camera_crash_back_10f,bus,4.0,0.7888888888888891,0.39712840524278437
M1,camera_crash_back_10f,trailer,0.5,0.0,0.0
M1,camera_crash_back_10f,trailer,1.0,0.0,0.0
M1,camera_crash_back_10f,trailer,2.0,0.0,0.0
M1,camera_crash_back_10f,trailer,4.0,0.0,0.0
M1,camera_crash_back_10f,construction_vehicle,0.5,0.0,0.0
M1,camera_crash_back_10f,construction_vehicle,1.0,0.0,0.0
M1,camera_crash_back_10f,construction_vehicle,2.0,0.0,0.0
M1,camera_crash_back_10f,construction_vehicle,4.0,0.0,0.0
M1,camera_crash_back_10f,pedestrian,0.5,0.17817293104050846,0.5640356272664468
M1,camera_crash_back_10f,pedestrian,1.0,0.4946744344552407,0.5640356272664468
M1,camera_crash_back_10f,pedestrian,2.0,0.7550858436567129,0.5640356272664468
M1,camera_crash_back_10f,pedestrian,4.0,0.8282092999133253,0.5640356272664468
M1,camera_crash_back_10f,motorcycle,0.5,0.2679083340664356,0.5930399450401304
M1,camera_crash_back_10f,motorcycle,1.0,0.570129871556631,0.5930399450401304
M1,camera_crash_back_10f,motorcycle,2.0,0.7419467865308982,0.5930399450401304
M1,camera_crash_back_10f,motorcycle,4.0,0.7921747880065566,0.5930399450401304
M1,camera_crash_back_10f,bicycle,0.5,0.08473675312183453,0.32006618731317704
M1,camera_crash_back_10f,bicycle,1.0,0.2780108878447933,0.32006618731317704
M1,camera_crash_back_10f,bicycle,2.0,0.45069862528763116,0.32006618731317704
M1,camera_crash_back_10f,bicycle,4.0,0.46681848299844925,0.32006618731317704
M1,camera_crash_back_10f,traffic_cone,0.5,0.47529422042109426,0.7216855965184955
M1,camera_crash_back_10f,traffic_cone,1.0,0.7874670123593204,0.7216855965184955
M1,camera_crash_back_10f,traffic_cone,2.0,0.8118068922576728,0.7216855965184955
M1,camera_crash_back_10f,traffic_cone,4.0,0.8121742610358943,0.7216855965184955
M1,camera_crash_back_10f,barrier,0.5,0.0,0.0
M1,camera_crash_back_10f,barrier,1.0,0.0,0.0
M1,camera_crash_back_10f,barrier,2.0,0.0,0.0
M1,camera_crash_back_10f,barrier,4.0,0.0,0.0
M1,compound_fog_crash_10f,car,0.5,0.40607671191640593,0.7105848577363915
M1,compound_fog_crash_10f,car,1.0,0.6923330576301029,0.7105848577363915
M1,compound_fog_crash_10f,car,2.0,0.848280850497828,0.7105848577363915
M1,compound_fog_crash_10f,car,4.0,0.8956488109012289,0.7105848577363915
M1,compound_fog_crash_10f,truck,0.5,0.6471827149166596,0.7932703185973919
M1,compound_fog_crash_10f,truck,1.0,0.7716967819447731,0.7932703185973919
M1,compound_fog_crash_10f,truck,2.0,0.8728979202383875,0.7932703185973919
M1,compound_fog_crash_10f,truck,4.0,0.8813038572897478,0.7932703185973919
M1,compound_fog_crash_10f,bus,0.5,0.04701300273195698,0.40771394424233476
M1,compound_fog_crash_10f,bus,1.0,0.3620292551493532,0.40771394424233476
M1,compound_fog_crash_10f,bus,2.0,0.43292463019913996,0.40771394424233476
M1,compound_fog_crash_10f,bus,4.0,0.7888888888888891,0.40771394424233476
M1,compound_fog_crash_10f,trailer,0.5,0.0,0.0
M1,compound_fog_crash_10f,trailer,1.0,0.0,0.0
M1,compound_fog_crash_10f,trailer,2.0,0.0,0.0
M1,compound_fog_crash_10f,trailer,4.0,0.0,0.0
M1,compound_fog_crash_10f,construction_vehicle,0.5,0.0,0.0
M1,compound_fog_crash_10f,construction_vehicle,1.0,0.0,0.0
M1,compound_fog_crash_10f,construction_vehicle,2.0,0.0,0.0
M1,compound_fog_crash_10f,construction_vehicle,4.0,0.0,0.0
M1,compound_fog_crash_10f,pedestrian,0.5,0.1617141124675539,0.55965894620651
M1,compound_fog_crash_10f,pedestrian,1.0,0.49499442901796886,0.55965894620651
M1,compound_fog_crash_10f,pedestrian,2.0,0.7539093411196982,0.55965894620651
M1,compound_fog_crash_10f,pedestrian,4.0,0.828017902220819,0.55965894620651
M1,compound_fog_crash_10f,motorcycle,0.5,0.18265180447301257,0.4624972912688164
M1,compound_fog_crash_10f,motorcycle,1.0,0.3987646667140581,0.4624972912688164
M1,compound_fog_crash_10f,motorcycle,2.0,0.5732183538407655,0.4624972912688164
M1,compound_fog_crash_10f,motorcycle,4.0,0.6953543400474296,0.4624972912688164
M1,compound_fog_crash_10f,bicycle,0.5,0.08512766641284453,0.31290031338974056
M1,compound_fog_crash_10f,bicycle,1.0,0.27124874451172315,0.31290031338974056
M1,compound_fog_crash_10f,bicycle,2.0,0.43980941253976086,0.31290031338974056
M1,compound_fog_crash_10f,bicycle,4.0,0.45541543009463364,0.31290031338974056
M1,compound_fog_crash_10f,traffic_cone,0.5,0.421345021114357,0.6595853999479279
M1,compound_fog_crash_10f,traffic_cone,1.0,0.6658289848159769,0.6595853999479279
M1,compound_fog_crash_10f,traffic_cone,2.0,0.7555463459142524,0.6595853999479279
M1,compound_fog_crash_10f,traffic_cone,4.0,0.7956212479471252,0.6595853999479279
M1,compound_fog_crash_10f,barrier,0.5,0.0,0.0
M1,compound_fog_crash_10f,barrier,1.0,0.0,0.0
M1,compound_fog_crash_10f,barrier,2.0,0.0,0.0
M1,compound_fog_crash_10f,barrier,4.0,0.0,0.0
M1_RayDN,clean_no_corruption,car,0.5,0.42410108150572967,0.7201669023596023
M1_RayDN,clean_no_corruption,car,1.0,0.7061552136749787,0.7201669023596023
M1_RayDN,clean_no_corruption,car,2.0,0.8496091849830157,0.7201669023596023
M1_RayDN,clean_no_corruption,car,4.0,0.9008021292746853,0.7201669023596023
M1_RayDN,clean_no_corruption,truck,0.5,0.6178578849967865,0.8029403738920147
M1_RayDN,clean_no_corruption,truck,1.0,0.8320748864647454,0.8029403738920147
M1_RayDN,clean_no_corruption,truck,2.0,0.8808314352262252,0.8029403738920147
M1_RayDN,clean_no_corruption,truck,4.0,0.8809972888803018,0.8029403738920147
M1_RayDN,clean_no_corruption,bus,0.5,0.04940511365139847,0.6051562206312829
M1_RayDN,clean_no_corruption,bus,1.0,0.6857914385399893,0.6051562206312829
M1_RayDN,clean_no_corruption,bus,2.0,0.6857914385399893,0.6051562206312829
M1_RayDN,clean_no_corruption,bus,4.0,0.9996368917937548,0.6051562206312829
M1_RayDN,clean_no_corruption,trailer,0.5,0.0,0.0
M1_RayDN,clean_no_corruption,trailer,1.0,0.0,0.0
M1_RayDN,clean_no_corruption,trailer,2.0,0.0,0.0
M1_RayDN,clean_no_corruption,trailer,4.0,0.0,0.0
M1_RayDN,clean_no_corruption,construction_vehicle,0.5,0.0,0.0
M1_RayDN,clean_no_corruption,construction_vehicle,1.0,0.0,0.0
M1_RayDN,clean_no_corruption,construction_vehicle,2.0,0.0,0.0
M1_RayDN,clean_no_corruption,construction_vehicle,4.0,0.0,0.0
M1_RayDN,clean_no_corruption,pedestrian,0.5,0.17858177370095382,0.570299441056288
M1_RayDN,clean_no_corruption,pedestrian,1.0,0.4926658320851797,0.570299441056288
M1_RayDN,clean_no_corruption,pedestrian,2.0,0.7606883323669469,0.570299441056288
M1_RayDN,clean_no_corruption,pedestrian,4.0,0.8492618260720721,0.570299441056288
M1_RayDN,clean_no_corruption,motorcycle,0.5,0.21202840376765142,0.5459093528528312
M1_RayDN,clean_no_corruption,motorcycle,1.0,0.5174510164495042,0.5459093528528312
M1_RayDN,clean_no_corruption,motorcycle,2.0,0.6939219853114413,0.5459093528528312
M1_RayDN,clean_no_corruption,motorcycle,4.0,0.7602360058827277,0.5459093528528312
M1_RayDN,clean_no_corruption,bicycle,0.5,0.08211240240303068,0.2612895123657066
M1_RayDN,clean_no_corruption,bicycle,1.0,0.18799129372528098,0.2612895123657066
M1_RayDN,clean_no_corruption,bicycle,2.0,0.3820831873466858,0.2612895123657066
M1_RayDN,clean_no_corruption,bicycle,4.0,0.39297116598782894,0.2612895123657066
M1_RayDN,clean_no_corruption,traffic_cone,0.5,0.41243752034989956,0.7108960651014432
M1_RayDN,clean_no_corruption,traffic_cone,1.0,0.7584031268874741,0.7108960651014432
M1_RayDN,clean_no_corruption,traffic_cone,2.0,0.8363718065841995,0.7108960651014432
M1_RayDN,clean_no_corruption,traffic_cone,4.0,0.8363718065841995,0.7108960651014432
M1_RayDN,clean_no_corruption,barrier,0.5,0.0,0.0
M1_RayDN,clean_no_corruption,barrier,1.0,0.0,0.0
M1_RayDN,clean_no_corruption,barrier,2.0,0.0,0.0
M1_RayDN,clean_no_corruption,barrier,4.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,car,0.5,0.4342993286705691,0.7241905231392808
M1_RayDN,camera_crash_back_5f,car,1.0,0.712216368404174,0.7241905231392808
M1_RayDN,camera_crash_back_5f,car,2.0,0.8505604149461827,0.7241905231392808
M1_RayDN,camera_crash_back_5f,car,4.0,0.8996859805361973,0.7241905231392808
M1_RayDN,camera_crash_back_5f,truck,0.5,0.6063425373358645,0.8020429458919517
M1_RayDN,camera_crash_back_5f,truck,1.0,0.8372975727521348,0.8020429458919517
M1_RayDN,camera_crash_back_5f,truck,2.0,0.8817824657262048,0.8020429458919517
M1_RayDN,camera_crash_back_5f,truck,4.0,0.8827492077536027,0.8020429458919517
M1_RayDN,camera_crash_back_5f,bus,0.5,0.044958792796321395,0.5199802178767462
M1_RayDN,camera_crash_back_5f,bus,1.0,0.4787928476608438,0.5199802178767462
M1_RayDN,camera_crash_back_5f,bus,2.0,0.600613675494264,0.5199802178767462
M1_RayDN,camera_crash_back_5f,bus,4.0,0.9555555555555557,0.5199802178767462
M1_RayDN,camera_crash_back_5f,trailer,0.5,0.0,0.0
M1_RayDN,camera_crash_back_5f,trailer,1.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,trailer,2.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,trailer,4.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,construction_vehicle,0.5,0.0,0.0
M1_RayDN,camera_crash_back_5f,construction_vehicle,1.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,construction_vehicle,2.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,construction_vehicle,4.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,pedestrian,0.5,0.16730969298202092,0.5714325687159132
M1_RayDN,camera_crash_back_5f,pedestrian,1.0,0.5060552698975632,0.5714325687159132
M1_RayDN,camera_crash_back_5f,pedestrian,2.0,0.7689831836430179,0.5714325687159132
M1_RayDN,camera_crash_back_5f,pedestrian,4.0,0.843382128341051,0.5714325687159132
M1_RayDN,camera_crash_back_5f,motorcycle,0.5,0.2648111420332621,0.5881776235637616
M1_RayDN,camera_crash_back_5f,motorcycle,1.0,0.5818606800289378,0.5881776235637616
M1_RayDN,camera_crash_back_5f,motorcycle,2.0,0.7183646097189275,0.5881776235637616
M1_RayDN,camera_crash_back_5f,motorcycle,4.0,0.7876740624739188,0.5881776235637616
M1_RayDN,camera_crash_back_5f,bicycle,0.5,0.08416170754860121,0.2992252501488698
M1_RayDN,camera_crash_back_5f,bicycle,1.0,0.25624535275998367,0.2992252501488698
M1_RayDN,camera_crash_back_5f,bicycle,2.0,0.4209308595059042,0.2992252501488698
M1_RayDN,camera_crash_back_5f,bicycle,4.0,0.4355630807809902,0.2992252501488698
M1_RayDN,camera_crash_back_5f,traffic_cone,0.5,0.45183429525164753,0.7113879553628191
M1_RayDN,camera_crash_back_5f,traffic_cone,1.0,0.7465002212124621,0.7113879553628191
M1_RayDN,camera_crash_back_5f,traffic_cone,2.0,0.8236086524935832,0.7113879553628191
M1_RayDN,camera_crash_back_5f,traffic_cone,4.0,0.8236086524935832,0.7113879553628191
M1_RayDN,camera_crash_back_5f,barrier,0.5,0.0,0.0
M1_RayDN,camera_crash_back_5f,barrier,1.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,barrier,2.0,0.0,0.0
M1_RayDN,camera_crash_back_5f,barrier,4.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,car,0.5,0.43876482816607637,0.7267861824141074
M1_RayDN,camera_crash_back_10f,car,1.0,0.7177940738170188,0.7267861824141074
M1_RayDN,camera_crash_back_10f,car,2.0,0.8527838082177931,0.7267861824141074
M1_RayDN,camera_crash_back_10f,car,4.0,0.8978020194555417,0.7267861824141074
M1_RayDN,camera_crash_back_10f,truck,0.5,0.613666813316965,0.788552944843174
M1_RayDN,camera_crash_back_10f,truck,1.0,0.7770780561310658,0.788552944843174
M1_RayDN,camera_crash_back_10f,truck,2.0,0.8811996007147738,0.788552944843174
M1_RayDN,camera_crash_back_10f,truck,4.0,0.8822673092098912,0.788552944843174
M1_RayDN,camera_crash_back_10f,bus,0.5,0.03338710792959158,0.40430747054174343
M1_RayDN,camera_crash_back_10f,bus,1.0,0.3620292551493532,0.40430747054174343
M1_RayDN,camera_crash_back_10f,bus,2.0,0.43292463019913996,0.40430747054174343
M1_RayDN,camera_crash_back_10f,bus,4.0,0.7888888888888891,0.40430747054174343
M1_RayDN,camera_crash_back_10f,trailer,0.5,0.0,0.0
M1_RayDN,camera_crash_back_10f,trailer,1.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,trailer,2.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,trailer,4.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,construction_vehicle,0.5,0.0,0.0
M1_RayDN,camera_crash_back_10f,construction_vehicle,1.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,construction_vehicle,2.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,construction_vehicle,4.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,pedestrian,0.5,0.16759359006279798,0.5605383011364456
M1_RayDN,camera_crash_back_10f,pedestrian,1.0,0.4900513269209007,0.5605383011364456
M1_RayDN,camera_crash_back_10f,pedestrian,2.0,0.7573143728582794,0.5605383011364456
M1_RayDN,camera_crash_back_10f,pedestrian,4.0,0.8271939147038044,0.5605383011364456
M1_RayDN,camera_crash_back_10f,motorcycle,0.5,0.32004345179308835,0.6107379194718574
M1_RayDN,camera_crash_back_10f,motorcycle,1.0,0.5888305338010966,0.6107379194718574
M1_RayDN,camera_crash_back_10f,motorcycle,2.0,0.7361693023944141,0.6107379194718574
M1_RayDN,camera_crash_back_10f,motorcycle,4.0,0.7979083898988304,0.6107379194718574
M1_RayDN,camera_crash_back_10f,bicycle,0.5,0.08408442761279336,0.2926561367931782
M1_RayDN,camera_crash_back_10f,bicycle,1.0,0.23519436909386088,0.2926561367931782
M1_RayDN,camera_crash_back_10f,bicycle,2.0,0.4200421463362444,0.2926561367931782
M1_RayDN,camera_crash_back_10f,bicycle,4.0,0.4313036041298141,0.2926561367931782
M1_RayDN,camera_crash_back_10f,traffic_cone,0.5,0.46912339542990544,0.7086900765770818
M1_RayDN,camera_crash_back_10f,traffic_cone,1.0,0.750370587212334,0.7086900765770818
M1_RayDN,camera_crash_back_10f,traffic_cone,2.0,0.8076331618330441,0.7086900765770818
M1_RayDN,camera_crash_back_10f,traffic_cone,4.0,0.8076331618330441,0.7086900765770818
M1_RayDN,camera_crash_back_10f,barrier,0.5,0.0,0.0
M1_RayDN,camera_crash_back_10f,barrier,1.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,barrier,2.0,0.0,0.0
M1_RayDN,camera_crash_back_10f,barrier,4.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,car,0.5,0.40647392409187233,0.7105779596409768
M1_RayDN,compound_fog_crash_10f,car,1.0,0.6905774059519731,0.7105779596409768
M1_RayDN,compound_fog_crash_10f,car,2.0,0.8475563000576994,0.7105779596409768
M1_RayDN,compound_fog_crash_10f,car,4.0,0.8977042084623622,0.7105779596409768
M1_RayDN,compound_fog_crash_10f,truck,0.5,0.6001594493709317,0.7799156214241157
M1_RayDN,compound_fog_crash_10f,truck,1.0,0.764798283646626,0.7799156214241157
M1_RayDN,compound_fog_crash_10f,truck,2.0,0.8746863508235867,0.7799156214241157
M1_RayDN,compound_fog_crash_10f,truck,4.0,0.8800184018553185,0.7799156214241157
M1_RayDN,compound_fog_crash_10f,bus,0.5,0.04701300273195698,0.41413540087212475
M1_RayDN,compound_fog_crash_10f,bus,1.0,0.386328196948295,0.41413540087212475
M1_RayDN,compound_fog_crash_10f,bus,2.0,0.43431151491935804,0.41413540087212475
M1_RayDN,compound_fog_crash_10f,bus,4.0,0.7888888888888891,0.41413540087212475
M1_RayDN,compound_fog_crash_10f,trailer,0.5,0.0,0.0
M1_RayDN,compound_fog_crash_10f,trailer,1.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,trailer,2.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,trailer,4.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,construction_vehicle,0.5,0.0,0.0
M1_RayDN,compound_fog_crash_10f,construction_vehicle,1.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,construction_vehicle,2.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,construction_vehicle,4.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,pedestrian,0.5,0.1656430079803259,0.5520692935333473
M1_RayDN,compound_fog_crash_10f,pedestrian,1.0,0.48674988868575375,0.5520692935333473
M1_RayDN,compound_fog_crash_10f,pedestrian,2.0,0.7357081609721107,0.5520692935333473
M1_RayDN,compound_fog_crash_10f,pedestrian,4.0,0.8201761164951986,0.5520692935333473
M1_RayDN,compound_fog_crash_10f,motorcycle,0.5,0.19688683461635353,0.46908791554598583
M1_RayDN,compound_fog_crash_10f,motorcycle,1.0,0.3832112795008532,0.46908791554598583
M1_RayDN,compound_fog_crash_10f,motorcycle,2.0,0.5971596871463547,0.46908791554598583
M1_RayDN,compound_fog_crash_10f,motorcycle,4.0,0.6990938609203817,0.46908791554598583
M1_RayDN,compound_fog_crash_10f,bicycle,0.5,0.08944820861969174,0.2879525271227613
M1_RayDN,compound_fog_crash_10f,bicycle,1.0,0.22622143111220233,0.2879525271227613
M1_RayDN,compound_fog_crash_10f,bicycle,2.0,0.41205919228157695,0.2879525271227613
M1_RayDN,compound_fog_crash_10f,bicycle,4.0,0.4240812764775742,0.2879525271227613
M1_RayDN,compound_fog_crash_10f,traffic_cone,0.5,0.4267905753502383,0.6610878398266264
M1_RayDN,compound_fog_crash_10f,traffic_cone,1.0,0.6473537350910312,0.6610878398266264
M1_RayDN,compound_fog_crash_10f,traffic_cone,2.0,0.7650686848372515,0.6610878398266264
M1_RayDN,compound_fog_crash_10f,traffic_cone,4.0,0.8051383640279844,0.6610878398266264
M1_RayDN,compound_fog_crash_10f,barrier,0.5,0.0,0.0
M1_RayDN,compound_fog_crash_10f,barrier,1.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,barrier,2.0,0.0,0.0
M1_RayDN,compound_fog_crash_10f,barrier,4.0,0.0,0.0
