candidate,candidate_name,iterations,loss_first,loss_last,loss_min,loss_max,loss_mean,grad_norm_first,grad_norm_last,grad_norm_max,grad_norm_mean,memory_max_mb,conservation_residual_abs_max,conservation_violation_count,unsupported_growth_count,source_mass_violation_count,keep_count,recover_count,defer_count,nan_or_inf,oom_or_runtime_error,exit_status
c0,canonical_no_discount,200,22.375,16.7909,12.5374,40.4662,20.417715,10.5902,9.0207,17.429,11.923738,555,1.9073486328125e-06,0,0,0,48325,3915,127760,False,False,0
c1,legacy_fixed_discount,200,22.375,16.5846,12.5711,40.4662,20.358121500000003,10.5902,9.0589,17.4544,11.924672000000003,555,3.814697265625e-06,0,0,0,59832,3866,116302,False,False,0
