candidate,candidate_name,config,enable_correlation_discount,initial_checkpoint,initial_checkpoint_sha256,seed,max_iters,fairness_fields_equal,only_intended_semantic_difference,train_exit_status,evaluation_exit_status
c0,canonical_no_discount,configs/evidence_conserving/mini_stage2_canonical_no_discount_200.py,False,/home/research/research/evidence3d/outputs/final_snapshots/stage1_ternary_r50_200/checkpoint/iter_200.pth,9f8f4ab9361bb3a880abbdb605f93929886aa242d1d665ea84500a7abd331a16,2026,200,True,enable_correlation_discount,0,0
c1,legacy_fixed_discount,configs/evidence_conserving/mini_stage2_legacy_fixed_discount_200.py,True,/home/research/research/evidence3d/outputs/final_snapshots/stage1_ternary_r50_200/checkpoint/iter_200.pth,9f8f4ab9361bb3a880abbdb605f93929886aa242d1d665ea84500a7abd331a16,2026,200,True,enable_correlation_discount,0,0
