candidate,candidate_name,checkpoint,bytes,sha256,state_dict_keys,runtime_state_key_count,runtime_state_keys,switch_state_key_count,correlation_config_key_count,safe
c0,canonical_no_discount,/home/research/research/evidence3d/outputs/stage2/s2_4_baseline_confirmation/c0_200/iter_200.pth,159783751,46767b63281572103875b1b1fbd1cb3ffb42d3276959c85a5a4dd5001b2037b8,629,0,,0,1,True
c1,legacy_fixed_discount,/home/research/research/evidence3d/outputs/stage2/s2_4_baseline_confirmation/c1_200/iter_200.pth,159783751,f6a3b424fa341f09848e638dedefc06c4472c76688fb5aad9a3f499ce486db8f,629,0,,0,1,True
