candidate,clean_mAP,clean_NDS,fault_mean_mAP,fault_mean_NDS,w2_t100_mean,w2_t100_max,residual_abs_max,violation_ratio,unsupported_growth_ratio,decision
B4,0.425500,0.477200,0.406800,0.466133,5.666667,8,0.000002861023,0,0,fail_fault_average
B6,0.426600,0.477800,0.405833,0.465467,7.166667,11,0.000003814697,0,0,fail_fault_average
