experiment,epoch,records,loss_cls,loss_bbox,loss_ternary,loss_observability,loss_evidence,dn_loss,auxiliary_scale,lr,mean_iter_time_s,max_memory_mb
B0,1,32,0.29631812500000004,0.6593046874999999,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.327125625,1756.0
B0,2,32,0.2649146875,0.6577996875000001,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.33735,1756.0
B0,3,32,0.25625031249999997,0.634799375,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.345111875,1756.0
B0,4,33,0.23853424242424245,0.6305548484848486,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.34425606060606057,1756.0
B0,5,32,0.2426903125,0.626765625,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.34671687500000004,1756.0
B0,6,32,0.234496875,0.61256875,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.339681875,1756.0
B0,7,33,0.2284439393939394,0.6033618181818183,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.3496945454545454,1756.0
B0,8,32,0.2279259375,0.5962862500000001,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.3461275,1756.0
B0,9,32,0.2298590625,0.60000625,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.3455265625,1756.0
B0,10,33,0.22464060606060604,0.5880987878787879,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.3518169696969697,1756.0
B0,11,32,0.2220453125,0.5727321875,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.345376875,1756.0
B0,12,32,0.218445,0.5870325000000001,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.3448003125,1756.0
M1,1,32,0.29261750000000003,0.6891453125,1.166844375,0.0,0.0,0.0,1.0,2.5e-06,0.375886875,1764.0
M1,2,32,0.3011196875,0.7291121875,0.75668625,0.0,0.0,0.0,1.0,2.5e-06,0.3791675,1764.0
M1,3,32,0.3253384375,0.7517725,0.5968815625,0.0,0.0,0.0,1.0,2.5e-06,0.37677125,1764.0
M1,4,33,0.30995272727272727,0.7530748484848484,0.5388193939393939,0.0,0.0,0.0,1.0,2.5e-06,0.3822384848484848,1764.0
M1,5,32,0.316180625,0.7362509374999999,0.5136171875,0.0,0.0,0.0,1.0,2.5e-06,0.377584375,1764.0
M1,6,32,0.3027190625,0.73126875,0.501325,0.0,0.0,0.0,1.0,2.5e-06,0.38086000000000003,1764.0
M1,7,33,0.2993181818181818,0.7248848484848485,0.4734206060606061,0.0,0.0,0.0,1.0,2.5e-06,0.3816169696969697,1764.0
M1,8,32,0.292155,0.7051653125,0.4507840625,0.0,0.0,0.0,1.0,2.5e-06,0.3768240625,1764.0
M1,9,32,0.2830153125,0.7037218749999999,0.4421396875,0.0,0.0,0.0,1.0,2.5e-06,0.3800359375,1764.0
M1,10,33,0.2762733333333333,0.7006548484848485,0.4246969696969697,0.0,0.0,0.0,1.0,2.5e-06,0.3809412121212121,1764.0
M1,11,32,0.27323437500000003,0.6912715625000001,0.40811312499999997,0.0,0.0,0.0,1.0,2.5e-06,0.378150625,1764.0
M1,12,32,0.26063187499999996,0.6843487500000001,0.3745165625,0.0,0.0,0.0,1.0,2.5e-06,0.38204125,1764.0
M1-Ramp,1,32,0.28756781249999996,0.6692659375000001,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.37548281250000004,1764.0
M1-Ramp,2,32,0.2542740625,0.6692625,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.37756625,1764.0
M1-Ramp,3,32,0.26075875,0.6553459374999999,0.0445284375,0.0,0.0,0.0,0.0456434375,2.5e-06,0.3816471875,1764.0
M1-Ramp,4,33,0.28556454545454546,0.6830257575757575,0.18956757575757577,0.0,0.0,0.0,0.30039757575757575,2.5e-06,0.3779087878787879,1764.0
M1-Ramp,5,32,0.29702874999999995,0.7169309374999999,0.30817531249999996,0.0,0.0,0.0,0.57989,2.5e-06,0.3785721875,1764.0
M1-Ramp,6,32,0.29096500000000003,0.7095028125,0.4239440625,0.0,0.0,0.0,0.85509,2.5e-06,0.3829528125,1764.0
M1-Ramp,7,33,0.28685393939393944,0.7017636363636364,0.4633309090909091,0.0,0.0,0.0,0.9999060606060605,2.5e-06,0.3811160606060605,1764.0
M1-Ramp,8,32,0.2774615625,0.6879034374999999,0.4351321875,0.0,0.0,0.0,1.0,2.5e-06,0.37779,1764.0
M1-Ramp,9,32,0.265053125,0.6724609374999999,0.42431125000000003,0.0,0.0,0.0,1.0,2.5e-06,0.3839728125,1764.0
M1-Ramp,10,33,0.2584766666666667,0.6618039393939394,0.4064618181818182,0.0,0.0,0.0,1.0,2.5e-06,0.37560303030303027,1764.0
M1-Ramp,11,32,0.24271593749999998,0.641968125,0.3847021875,0.0,0.0,0.0,1.0,2.5e-06,0.3727628125,1764.0
M1-Ramp,12,32,0.24264375,0.6453765624999999,0.3498884375,0.0,0.0,0.0,1.0,2.5e-06,0.3818871875,1764.0
