candidate,candidate_name,protocol,records,queries,min,p05,p25,mean,median,p75,p95,max,zero_ratio,one_ratio,greater_than_one_ratio
c0,canonical_no_discount,clean,81,72900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
c0,canonical_no_discount,crash5,81,72900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
c0,canonical_no_discount,crash10,81,72900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
c0,canonical_no_discount,compound,81,72900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
c1,legacy_fixed_discount,clean,81,72900,0.0,0.9998424649238586,0.9999547004699707,1.0703224793473616,0.9999924302101135,1.0014832615852356,1.481142657995224,1.481731653213501,0.0005349794238683127,0.00019204389574759944,0.3296296296296296
c1,legacy_fixed_discount,crash5,81,72900,0.0,0.9997981727123261,0.999946117401123,1.0434586645648798,0.9999912083148956,1.0008481740951538,1.4811347901821137,1.4817161560058594,0.020877914951989027,0.00019204389574759944,0.3168861454046639
c1,legacy_fixed_discount,crash10,81,72900,0.0,0.7172376215457923,0.9999378323554993,1.0168517257639749,0.9999894499778748,1.000381976366043,1.4811286926269531,1.4817185401916504,0.04056241426611797,0.0001646090534979424,0.30085048010973936
c1,legacy_fixed_discount,compound,81,72900,0.0,0.6664256125688559,0.999940812587738,1.015903350347236,0.9999915957450867,1.0003948211669922,1.4810338258743285,1.4817448854446411,0.04065843621399177,0.0001783264746227709,0.302400548696845
