count,mean,metric,p01,p10,p25,p50,p75,p90,p99,phase,protocol,variant
72900,0.6293213583877367,negative_over_base,0.13346817803820177,0.22326123463305167,0.4631598350133642,0.7327905650230021,0.7832207263230911,0.8210833059983147,0.9194962945804496,clean,clean,n1_debug50
72900,0.5848030000572482,positive_over_base,0.09883752296637646,0.1910132509158694,0.4636013306572277,0.667986633953535,0.7240057207042799,0.7751150473027932,0.9931116822338254,clean,clean,n1_debug50
18000,0.7021357246712232,negative_over_base,0.0,0.18344678782038495,0.6173092741548485,0.7781917346110808,0.8826386519447972,1.0,1.1497666600878287,fault,compound_10f,n1_debug50
18000,0.6620224048694334,positive_over_base,0.0,0.16119257451049657,0.5697236219795696,0.7054814202833941,0.8520123615998427,1.0,1.100023124805974,fault,compound_10f,n1_debug50
5400,0.664506140091355,negative_over_base,0.14736327988079254,0.2383557757418821,0.6843211009056457,0.7415022647056149,0.7846487417428156,0.8167784863470005,0.8676095784306616,pre_fault,compound_10f,n1_debug50
5400,0.6057746338091058,positive_over_base,0.13831408310113963,0.21853391779024844,0.6179680898643919,0.6697647341657782,0.71376359367328,0.7492127754014488,0.8343916325196263,pre_fault,compound_10f,n1_debug50
49500,0.6269445981673674,negative_over_base,0.13041374588233165,0.22249174986681483,0.4496310763192324,0.7286492506785589,0.7840968425800505,0.826031657558576,0.9302288338452107,recovery,compound_10f,n1_debug50
49500,0.5845372546773794,positive_over_base,0.09684122054300942,0.18472238382229156,0.45218858255058436,0.6667569382334064,0.7278581134113434,0.7823690083921792,1.0,recovery,compound_10f,n1_debug50
18000,0.689525776418748,negative_over_base,0.0,0.20947587600463125,0.477764478053938,0.7763289062091046,0.8606231089890433,1.0,1.0,fault,crash_10f,n1_debug50
18000,0.6533386984428765,positive_over_base,0.0,0.1836918254439098,0.47514783503782265,0.7053634265259208,0.821017600420806,1.0,1.0,fault,crash_10f,n1_debug50
5400,0.664506140091355,negative_over_base,0.14736327988079254,0.2383557757418821,0.6843211009056457,0.7415022647056149,0.7846487417428156,0.8167784863470005,0.8676095784306616,pre_fault,crash_10f,n1_debug50
5400,0.6057746338091058,positive_over_base,0.13831408310113963,0.21853391779024844,0.6179680898643919,0.6697647341657782,0.71376359367328,0.7492127754014488,0.8343916325196263,pre_fault,crash_10f,n1_debug50
49500,0.6267563946529549,negative_over_base,0.13296094568463915,0.22205040565817477,0.45020910945996145,0.7300168344169191,0.7833443396879134,0.8228186471970206,0.9234103277004173,recovery,crash_10f,n1_debug50
49500,0.5854742562499987,positive_over_base,0.09713160180232397,0.1864183483850799,0.4494999044152938,0.6696683678781812,0.7287339192096831,0.778980107735697,1.0,recovery,crash_10f,n1_debug50
9000,0.6920532831714642,negative_over_base,0.0,0.21544986520724746,0.48731444564636645,0.7759640540112538,0.8656306262672774,1.0,1.0,fault,crash_5f,n1_debug50
9000,0.652753068543167,positive_over_base,0.0,0.18904802033217483,0.478432056943604,0.6995692194316934,0.8280906521584858,1.0,1.0,fault,crash_5f,n1_debug50
5400,0.664506140091355,negative_over_base,0.14736327988079254,0.2383557757418821,0.6843211009056457,0.7415022647056149,0.7846487417428156,0.8167784863470005,0.8676095784306616,pre_fault,crash_5f,n1_debug50
5400,0.6057746338091058,positive_over_base,0.13831408310113963,0.21853391779024844,0.6179680898643919,0.6697647341657782,0.71376359367328,0.7492127754014488,0.8343916325196263,pre_fault,crash_5f,n1_debug50
58500,0.6259025059718256,negative_over_base,0.13153701264566586,0.22237195954387648,0.4435356003467124,0.7298040592754005,0.7822182682594293,0.8211046388152997,0.9209371461714217,recovery,crash_5f,n1_debug50
58500,0.5843913538333262,positive_over_base,0.09783461284868127,0.18639400188302804,0.4396203165181644,0.6685923371358857,0.7275555335963256,0.7791267354103587,1.0,recovery,crash_5f,n1_debug50
72900,0.5943942548974802,negative_over_base,0.1249479449833122,0.2118316875756739,0.44612803966593184,0.6876695545026056,0.7402828614465954,0.7804811024425424,0.8803371148553858,clean,clean,n1_zero_shot
72900,0.6076723688978951,positive_over_base,0.10139959602428034,0.19664747139281008,0.4746557938226369,0.694427602164776,0.7548914054412649,0.8095021558151501,1.0131258929531386,clean,clean,n1_zero_shot
18000,0.6752394722030369,negative_over_base,0.0,0.17211419917446152,0.5850599503125818,0.7334226931336596,0.8412056626723643,1.0,1.070130012190275,fault,compound_10f,n1_zero_shot
18000,0.6778784465712542,positive_over_base,0.0,0.16455761124880075,0.5775652653881824,0.735413020025821,0.8799923243966624,1.0,1.1373368547413938,fault,compound_10f,n1_zero_shot
5400,0.6274554159264126,negative_over_base,0.14991356508977222,0.22720004821864478,0.6411747506060832,0.6964437369899921,0.7427451095092055,0.7759554918508373,0.8267363170907861,pre_fault,compound_10f,n1_zero_shot
5400,0.6295789256789576,positive_over_base,0.13953761567099854,0.2278130876741459,0.6406509789328756,0.6965197174896308,0.7444404890648034,0.7790272425624183,0.8633670388327197,pre_fault,compound_10f,n1_zero_shot
49500,0.5934269254342127,negative_over_base,0.12310063957152691,0.21138662204178038,0.4368432785114583,0.6849252984837884,0.7418549758943429,0.7854061151321033,0.8876260653778769,recovery,compound_10f,n1_zero_shot
49500,0.6083137680281121,positive_over_base,0.09930667083016671,0.19001639260694542,0.46415229876262687,0.6948509890701628,0.758817663145912,0.8162040791205342,1.0469016626588945,recovery,compound_10f,n1_zero_shot
18000,0.6646845855445186,negative_over_base,0.0,0.19783716785183356,0.4518227793741696,0.7325612627940798,0.8199407460226839,1.0,1.0,fault,crash_10f,n1_zero_shot
18000,0.6708378908332204,positive_over_base,0.0,0.18690141824217638,0.4814798289660246,0.7357201892977108,0.8577504981446638,1.0,1.0,fault,crash_10f,n1_zero_shot
5400,0.6274554159264126,negative_over_base,0.14991356508977222,0.22720004821864478,0.6411747506060832,0.6964437369899921,0.7427451095092055,0.7759554918508373,0.8267363170907861,pre_fault,crash_10f,n1_zero_shot
5400,0.6295789256789576,positive_over_base,0.13953761567099854,0.2278130876741459,0.6406509789328756,0.6965197174896308,0.7444404890648034,0.7790272425624183,0.8633670388327197,pre_fault,crash_10f,n1_zero_shot
49500,0.591989719711021,negative_over_base,0.12675909070609523,0.21260483362784693,0.4316945336604897,0.6833311916599395,0.739780223648802,0.781948808916529,0.8860147487940847,recovery,crash_10f,n1_zero_shot
49500,0.610293579769171,positive_over_base,0.10028209332680083,0.19085046625266638,0.46633388711679974,0.6979927699812208,0.7611024649347823,0.8165840674405042,1.0377254668400209,recovery,crash_10f,n1_zero_shot
9000,0.6671729124461309,negative_over_base,0.0,0.20259599870880324,0.4665253295762718,0.7333659639866172,0.8272380615279163,1.0,1.0,fault,crash_5f,n1_zero_shot
9000,0.6687650983330133,positive_over_base,0.0,0.19057431989119947,0.497078090082555,0.7284669476760801,0.8647022718593859,1.0,1.0,fault,crash_5f,n1_zero_shot
5400,0.6274554159264126,negative_over_base,0.14991356508977222,0.22720004821864478,0.6411747506060832,0.6964437369899921,0.7427451095092055,0.7759554918508373,0.8267363170907861,pre_fault,crash_5f,n1_zero_shot
5400,0.6295789256789576,positive_over_base,0.13953761567099854,0.2278130876741459,0.6406509789328756,0.6965197174896308,0.7444404890648034,0.7790272425624183,0.8633670388327197,pre_fault,crash_5f,n1_zero_shot
58500,0.5926602584933885,negative_over_base,0.12507287238503312,0.21086127546020028,0.42324013988920345,0.6868558423847184,0.7406125847196648,0.7817751938410711,0.8753925569971094,recovery,crash_5f,n1_zero_shot
